,instance name,number of variables,number of constraints,size
0,Mat_knapsack2,9,9,81
1,Mat_knapsack3,11,9,99
2,Mat_knapsack4,11,12,132
3,Mat_knapsack5,14,13,182
4,Mat_knapsack6,17,13,221
5,Mat_knapsack7,18,15,270
6,Mat_knapsack8,19,16,304
7,Mat_knapsack9,20,17,340
8,Mat_knapsack10,21,18,378
9,Mat_knapsack11,21,18,378
10,Mat_knapsack12,23,21,483
11,Mat_knapsack13,25,24,600
12,Mat_knapsack14,28,25,700
13,Mat_knapsack15,30,25,750
14,Mat_knapsack16,31,25,775
15,Mat_knapsack17,31,26,806
16,Mat_knapsack18,34,29,986
17,Mat_knapsack19,35,32,1120
18,Mat_knapsack20,36,32,1152
19,Mat_knapsack21,36,34,1224
20,Mat_knapsack22,38,36,1368
21,Mat_knapsack23,38,39,1482
22,Mat_knapsack24,40,40,1600
23,Mat_knapsack25,42,40,1680
24,Mat_knapsack26,42,43,1806
25,Mat_knapsack27,45,44,1980
26,Mat_knapsack28,48,45,2160
27,Mat_knapsack29,51,45,2295
28,Mat_knapsack30,51,45,2295
29,Mat_knapsack31,53,48,2544
30,Mat_knapsack32,55,50,2750
31,Mat_knapsack33,56,52,2912
32,Mat_knapsack34,56,53,2968
33,Mat_knapsack35,59,56,3304
34,Mat_knapsack36,60,59,3540
35,Mat_knapsack37,62,59,3658
36,Mat_knapsack38,64,62,3968
37,Mat_knapsack39,67,62,4154
38,Mat_knapsack40,67,63,4221
39,Mat_knapsack41,67,65,4355
40,Mat_knapsack42,67,65,4355
41,Mat_knapsack43,68,67,4556
42,Mat_knapsack44,71,70,4970
43,Mat_knapsack45,72,72,5184
44,Mat_knapsack46,73,74,5402
45,Mat_knapsack47,73,76,5548
46,Mat_knapsack48,74,79,5846
47,Mat_knapsack49,75,81,6075
48,Mat_knapsack50,75,82,6150
49,Mat_knapsack51,75,83,6225
50,Mat_knapsack52,77,83,6391
51,Mat_knapsack53,78,83,6474
52,Mat_knapsack54,79,85,6715
53,Mat_knapsack55,81,85,6885
54,Mat_knapsack56,81,86,6966
55,Mat_knapsack57,84,87,7308
56,Mat_knapsack58,85,88,7480
57,Mat_knapsack59,88,90,7920
58,Mat_knapsack60,91,93,8463
59,Mat_knapsack61,91,94,8554
60,Mat_knapsack62,92,96,8832
61,Mat_knapsack63,92,96,8832
62,Mat_knapsack64,93,97,9021
63,Mat_knapsack65,93,97,9021
64,Mat_knapsack66,93,97,9021
65,Mat_knapsack67,96,100,9600
66,Mat_knapsack68,97,101,9797
67,Mat_knapsack69,98,102,9996
68,Mat_knapsack70,101,104,10504
69,Mat_knapsack71,104,104,10816
70,Mat_knapsack72,105,104,10920
71,Mat_knapsack73,107,104,11128
72,Mat_knapsack74,107,104,11128
73,Mat_knapsack75,107,107,11449
74,Mat_knapsack76,108,107,11556
75,Mat_knapsack77,108,107,11556
76,Mat_knapsack78,109,109,11881
77,Mat_knapsack79,109,111,12099
78,Mat_knapsack80,110,113,12430
79,Mat_knapsack81,110,116,12760
80,Mat_knapsack82,112,116,12992
81,Mat_knapsack83,115,117,13455
82,Mat_knapsack84,117,120,14040
83,Mat_knapsack85,119,122,14518
84,Mat_knapsack86,119,123,14637
85,Mat_knapsack87,120,125,15000
86,Mat_knapsack88,120,127,15240
87,Mat_knapsack89,121,130,15730
88,Mat_knapsack90,123,132,16236
89,Mat_knapsack91,126,133,16758
90,Mat_knapsack92,127,135,17145
91,Mat_knapsack93,127,138,17526
92,Mat_knapsack94,129,141,18189
93,Mat_knapsack95,129,144,18576
94,Mat_knapsack96,130,147,19110
95,Mat_knapsack97,133,148,19684
96,Mat_knapsack98,133,149,19817
97,Mat_knapsack99,134,152,20368
98,Mat_knapsack100,135,155,20925
