,instance name,number of variables,number of constraints,size
0,Mat_linear3,11,9,99
1,Mat_linear4,13,11,143
2,Mat_linear5,15,13,195
3,Mat_linear6,17,15,255
4,Mat_linear7,19,17,323
5,Mat_linear8,21,19,399
6,Mat_linear9,23,21,483
7,Mat_linear10,25,23,575
8,Mat_linear11,27,25,675
9,Mat_linear12,29,27,783
10,Mat_linear13,31,29,899
11,Mat_linear14,33,31,1023
12,Mat_linear15,35,33,1155
13,Mat_linear16,37,35,1295
14,Mat_linear17,39,37,1443
15,Mat_linear18,41,39,1599
16,Mat_linear19,43,41,1763
17,Mat_linear20,45,43,1935
18,Mat_linear21,47,45,2115
19,Mat_linear22,49,47,2303
20,Mat_linear23,51,49,2499
21,Mat_linear24,53,51,2703
22,Mat_linear25,55,53,2915
23,Mat_linear26,57,55,3135
24,Mat_linear27,59,57,3363
25,Mat_linear28,61,59,3599
26,Mat_linear29,63,61,3843
27,Mat_linear30,65,63,4095
28,Mat_linear31,67,65,4355
29,Mat_linear32,69,67,4623
30,Mat_linear33,71,69,4899
31,Mat_linear34,73,71,5183
32,Mat_linear35,75,73,5475
33,Mat_linear36,77,75,5775
34,Mat_linear37,79,77,6083
35,Mat_linear38,81,79,6399
36,Mat_linear39,83,81,6723
37,Mat_linear40,85,83,7055
38,Mat_linear41,87,85,7395
39,Mat_linear42,89,87,7743
40,Mat_linear43,91,89,8099
41,Mat_linear44,93,91,8463
42,Mat_linear45,95,93,8835
43,Mat_linear46,97,95,9215
44,Mat_linear47,99,97,9603
45,Mat_linear48,101,99,9999
46,Mat_linear49,103,101,10403
47,Mat_linear50,105,103,10815
48,Mat_linear51,107,105,11235
49,Mat_linear52,109,107,11663
50,Mat_linear53,111,109,12099
51,Mat_linear54,113,111,12543
52,Mat_linear55,115,113,12995
53,Mat_linear56,117,115,13455
54,Mat_linear57,119,117,13923
55,Mat_linear58,121,119,14399
56,Mat_linear59,123,121,14883
57,Mat_linear60,125,123,15375
58,Mat_linear61,127,125,15875
59,Mat_linear62,129,127,16383
60,Mat_linear64,131,129,16899
61,Mat_linear65,133,131,17423
62,Mat_linear66,135,133,17955
63,Mat_linear67,137,135,18495
64,Mat_linear68,139,137,19043
65,Mat_linear69,141,139,19599
66,Mat_linear70,143,141,20163
67,Mat_linear71,145,143,20735
68,Mat_linear72,147,145,21315
69,Mat_linear73,149,147,21903
70,Mat_linear74,151,149,22499
71,Mat_linear75,153,151,23103
72,Mat_linear76,155,153,23715
73,Mat_linear77,157,155,24335
74,Mat_linear78,159,157,24963
75,Mat_linear79,161,159,25599
76,Mat_linear80,163,161,26243
77,Mat_linear81,165,163,26895
78,Mat_linear82,167,165,27555
79,Mat_linear83,169,167,28223
80,Mat_linear84,171,169,28899
81,Mat_linear85,173,171,29583
82,Mat_linear86,175,173,30275
83,Mat_linear87,177,175,30975
84,Mat_linear88,179,177,31683
85,Mat_linear89,181,179,32399
86,Mat_linear90,183,181,33123
87,Mat_linear91,185,183,33855
88,Mat_linear92,187,185,34595
89,Mat_linear93,189,187,35343
90,Mat_linear94,191,189,36099
91,Mat_linear95,193,191,36863
92,Mat_linear96,195,193,37635
93,Mat_linear97,197,195,38415
94,Mat_linear98,199,197,39203
95,Mat_linear99,201,199,39999
96,Mat_linear100,203,201,40803
