,instance name,number of variables,number of constraints,size
0,afiro,33,34,1122
1,kb2,42,60,2520
2,sc50b,49,71,3479
3,sc50a,49,71,3479
4,adlittle,98,68,6664
5,share2b,80,107,8560
6,blend,84,116,9744
7,sc105,104,151,15704
8,stocfor1,112,165,18480
9,israel,143,164,23452
10,scagr7,141,180,25380
11,fit1d,1027,26,26702
12,recipe,181,159,28779
13,boeing2,163,185,30155
14,share1b,226,197,44522
15,vtp.base,204,250,51000
16,e226,283,206,58298
17,sc205,204,295,60180
18,beaconfd,263,264,69432
19,lotfi,309,242,74778
20,brandy,250,305,76250
21,agg,164,495,81180
22,grow7,302,281,84862
23,forplan,423,246,104058
24,scsd1,761,155,117955
25,bore3d,316,381,120396
26,capri,354,404,143016
27,agg3,303,545,165135
28,agg2,303,545,165135
29,sctap1,481,421,202501
30,scorpion,359,565,202835
31,boeing1,474,446,211404
32,scfxm1,458,469,214802
33,bandm,473,539,254947
34,stair,468,566,264888
35,fit2d,10501,27,283527
36,finnis,615,522,321030
37,scagr25,501,648,324648
38,degen2,535,666,356310
39,tuff,588,622,365736
40,grow15,646,601,388246
41,scsd6,1351,295,398545
42,etamacro,689,673,463697
43,standata,1076,516,555216
44,standgub,1185,520,616200
45,pilot4,1001,682,682682
46,fffff800,855,829,708795
47,standmps,1076,732,787632
48,grow22,947,881,834307
49,ship04s,1459,573,836007
50,scfxm2,915,937,857355
51,bnl1,1176,821,965496
53,scrs8,1170,863,1009710
54,seba,1036,1030,1067080
55,gfrd-pnc,1093,1133,1238369
56,wood1p,2595,487,1263765
57,perold,1377,1117,1538109
58,ship04l,2119,749,1587131
59,maros,1444,1147,1656268
60,shell,1776,1071,1902096
61,scfxm3,1372,1405,1927660
62,25fv47,1572,1276,2005872
63,fit1p,1678,1255,2105890
64,ship08s,2388,885,2113380
65,scsd8,2751,795,2187045
66,modszk1,1621,1373,2225633
67,ship12s,2764,1045,2888380
68,sctap2,1881,1561,2936241
69,pilot.ja,1989,1598,3178422
70,sierra,2037,1756,3576972
71,pilotnov,2173,1673,3635429
72,pilot.we,2790,1306,3643740
73,nesm,3012,1231,3707772
74,ganges,1682,2250,3784500
75,degen3,1819,2221,4039999
76,czprob,3524,1439,5071036
77,d6cube,6185,829,5127365
78,sctap3,2481,2101,5212581
79,pilot,3653,1671,6104163
80,ship08l,4284,1429,6121836
81,stocfor2,2032,3285,6675120
82,cycle,2858,3119,8914102
83,ship12l,5428,1789,9710692
84,pilot87,4884,2256,11018304
85,bnl2,3490,3512,12256880
86,woodw,8406,2183,18350298
87,d2q06c,5168,3596,18584128
88,80bau3b,9800,2103,20609400
89,greenbea,5406,4450,24056700
90,greenbeb,5406,4450,24056700
91,maros-r7,9409,6273,59022657
92,fit2p,13526,6001,81169526
93,dfl001,12231,12143,148521033
