,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
0,afiro,33,34,1122,11,5,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:45,approximate-solution,7,1
1,kb2,42,60,2520,17,12,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
2,sc50a,49,71,3479,19,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
3,sc50b,49,71,3479,21,14,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
4,adlittle,98,68,6664,17,22,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
5,blend,84,116,9744,32,26,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
6,share2b,80,107,8560,24,8,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
7,sc105,104,151,15704,48,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
8,stocfor1,112,165,18480,38,5,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
9,recipe,181,159,28779,52,52,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
10,scagr7,141,180,25380,29,19,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
11,israel,143,164,23452,36,30,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
12,fit1d,1027,26,26702,5,119,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:4:22,valid-solution,7,1
13,share1b,226,197,44522,3,43,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
14,boeing2,163,185,30155,2,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
15,vtp.base,204,250,51000,76,69,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
16,sc205,204,295,60180,90,20,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
17,grow7,302,281,84862,50,55,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
18,beaconfd,263,264,69432,82,67,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
19,lotfi,309,242,74778,69,42,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
20,brandy,250,305,76250,98,73,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
21,scsd1,761,155,117955,21,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
22,e226,283,206,58298,54,19,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:1:28,valid-solution,7,1
