,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,total hour,validation,luby_cst,seed
0,afiro,33,34,1122,11,5,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:1,0.0,valid-solution,20,315271
1,kb2,42,60,2520,17,12,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,26:42:36,26.0,valid-solution,20,315271
2,sc50b,49,71,3479,21,14,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
3,sc50a,49,71,3479,19,13,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
4,adlittle,98,68,6664,17,22,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,9:18:11,9.0,approximate-solution,20,315271
5,share2b,80,107,8560,24,8,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,10:12:53,10.0,valid-solution,20,315271
6,blend,84,116,9744,32,26,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
7,sc105,104,151,15704,48,19,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
8,stocfor1,112,165,18480,38,5,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
9,israel,143,164,23452,36,30,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
10,scagr7,141,180,25380,29,19,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
11,fit1d,1027,26,26702,5,119,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:33,0.0,valid-solution,20,315271
12,recipe,181,159,28779,52,52,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
13,boeing2,163,185,30155,2,13,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
14,share1b,226,197,44522,3,43,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
15,vtp.base,204,250,51000,76,69,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
16,e226,283,206,58298,54,19,0,0,0,luby_test_small_restart,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:1:28,0.0,valid-solution,20,315271
17,sc205,204,295,60180,90,20,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
18,beaconfd,263,264,69432,82,67,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
19,lotfi,309,242,74778,69,42,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
20,brandy,250,305,76250,98,73,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
21,agg,164,495,81180,60,32,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
22,grow7,302,281,84862,50,55,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
23,forplan,423,246,104058,72,95,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
24,scsd1,761,155,117955,21,224,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
25,bore3d,316,381,120396,133,100,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
26,capri,354,404,143016,113,1,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
27,agg3,303,545,165135,171,102,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
28,agg2,303,545,165135,180,97,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
29,sctap1,481,421,202501,137,89,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
30,scorpion,359,565,202835,127,116,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
31,boeing1,474,446,211404,107,136,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
32,scfxm1,458,469,214802,94,16,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
33,bandm,473,539,254947,168,99,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
34,stair,468,566,264888,150,26,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
35,fit2d,10501,27,283527,7,2063,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
36,finnis,615,522,321030,167,147,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
37,scagr25,501,648,324648,154,145,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
38,degen2,535,666,356310,118,27,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
39,tuff,588,622,365736,183,155,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
40,grow15,646,601,388246,168,121,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
41,scsd6,1351,295,398545,16,420,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
42,etamacro,689,673,463697,191,182,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
43,standata,1076,516,555216,63,283,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
44,standgub,1185,520,616200,120,250,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
45,pilot4,1001,682,682682,208,182,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
46,fffff800,855,829,708795,192,224,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
47,standmps,1076,732,787632,34,296,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
48,grow22,947,881,834307,265,251,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
49,ship04s,1459,573,836007,188,318,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
50,scfxm2,915,937,857355,282,165,0,0,0,luby_test_small_restart,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,72.0,no result file,20,315271
