,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
0,afiro,33,34,1122,11,5,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:15,valid solution
1,afiro,33,34,1122,11,5,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,00:05:42,valid solution
2,afiro,33,34,1122,11,5,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:16,valid solution
3,afiro,33,34,1122,11,5,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:06,valid solution
4,afiro,33,34,1122,11,5,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:04,valid solution
5,afiro,33,34,1122,11,5,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,netlib/,equivalent,00:00:56,valid solution
6,afiro,33,34,1122,11,5,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:07,valid solution
7,afiro,33,34,1122,11,5,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:03,valid solution
8,afiro,33,34,1122,11,5,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:04,valid solution
9,afiro,33,34,1122,11,5,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
10,afiro,33,34,1122,11,5,0,0,0,permutation_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:08,valid solution
11,afiro,33,34,1122,11,5,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:02,valid solution
12,afiro,33,34,1122,11,5,0,0,0,algo,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:3:39,valid-solution
13,afiro,33,34,1122,11,5,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,netlib/,equivalent,0:0:1,valid-solution
14,kb2,42,60,2520,17,12,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:09,valid solution
15,kb2,42,60,2520,17,12,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,00:52:26,valid solution
16,kb2,42,60,2520,17,12,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:23,valid solution
17,kb2,42,60,2520,17,12,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:05,valid solution
18,kb2,42,60,2520,17,12,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:07,valid solution
19,kb2,42,60,2520,17,12,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,netlib/,equivalent,00:01:34,valid solution
20,kb2,42,60,2520,17,12,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:16,valid solution
21,kb2,42,60,2520,17,12,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:08,valid solution
22,kb2,42,60,2520,17,12,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:12,valid solution
23,kb2,42,60,2520,17,12,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
24,kb2,42,60,2520,17,12,0,0,0,permutation_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:28,valid solution
25,kb2,42,60,2520,17,12,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:05,valid solution
26,kb2,42,60,2520,17,12,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
27,kb2,42,60,2520,17,12,0,0,0,algo_enhanced,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,14:38:14,no-solution-to-validate
28,sc50b,49,71,3479,21,14,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:14,valid solution
29,sc50b,49,71,3479,21,14,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,01:19:52,valid solution
30,sc50b,49,71,3479,21,14,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:46,valid solution
31,sc50b,49,71,3479,21,14,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:13,valid solution
32,sc50b,49,71,3479,21,14,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:25,approximate solution
