,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
0,Mat_polynomial3,17,13,221,1,5,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
1,Mat_polynomial3,17,13,221,1,5,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:07,valid solution
2,Mat_polynomial3,17,13,221,1,5,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
3,Mat_polynomial3,17,13,221,1,5,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
4,Mat_polynomial3,17,13,221,1,5,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
5,Mat_polynomial3,17,13,221,1,5,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
6,Mat_polynomial3,17,13,221,1,5,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
7,Mat_polynomial3,17,13,221,1,5,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
8,Mat_polynomial3,17,13,221,1,5,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
9,Mat_polynomial3,17,13,221,1,5,0,0,0,permutation_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:06:56,valid solution
10,Mat_polynomial3,17,13,221,1,5,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
11,Mat_polynomial3,17,13,221,1,5,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
12,Mat_polynomial3,17,13,221,1,5,0,0,0,algo,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
13,Mat_polynomial3,17,13,221,1,5,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
14,Mat_polynomial4,20,15,300,4,3,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
15,Mat_polynomial4,20,15,300,4,3,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:13,valid solution
16,Mat_polynomial4,20,15,300,4,3,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
17,Mat_polynomial4,20,15,300,4,3,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
18,Mat_polynomial4,20,15,300,4,3,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
19,Mat_polynomial4,20,15,300,4,3,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
20,Mat_polynomial4,20,15,300,4,3,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
21,Mat_polynomial4,20,15,300,4,3,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
22,Mat_polynomial4,20,15,300,4,3,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
